School,Year,Total_Transfers_Incoming
Georgia Military College Prep,2025,2
Georgia Southern,2022,11
Georgia Southern,2023,15
Georgia Southern,2024,12
Georgia Southern,2025,16
Georgia State,2022,4
Georgia State,2023,19
Georgia State,2024,31
Georgia State,2025,27
Georgia Tech,2022,18
Georgia Tech,2023,16
Georgia Tech,2024,12
Georgia Tech,2025,23
Grambling,2022,5
Grambling,2023,2
Grambling,2024,10
Grambling,2025,4
Grand Valley State University,2022,1
Grand Valley State University,2024,2
Grand Valley State University,2025,3
Greeneville,2023,1
Hampton,2022,1
Hampton,2023,2
Hampton,2024,6
Hampton,2025,4
Harding University,2025,3
Hawai'i,2022,13
Hawai'i,2023,8
Hawai'i,2024,6
Hawai'i,2025,13
Henderson State,2025,1
Highland C.C.,2024,1
Hillsdale College,2024,1
Hinds C.C.,2022,1
Hinds C.C.,2025,3
Holmes C.C.,2022,1
Holmes C.C.,2025,1
Holy Cross,2025,3
Hope ,2025,1
Houston,2022,11
Houston,2023,20
Houston,2024,27
Houston,2025,28
Houston Christian,2023,4
Houston Christian,2024,4
Houston Christian,2025,15
Howard,2024,4
Hudson Valley,2025,12
Hutchinson C.C.,2022,1
Hutchinson C.C.,2023,2
Idaho,2022,1
Idaho,2024,2
Idaho,2025,8
Idaho State,2022,1
Idaho State,2023,1
Idaho State,2024,5
Idaho State,2025,6
Illinois,2022,8
Illinois,2023,7
Illinois,2024,12
Illinois,2025,18
Illinois State,2022,2
Illinois State,2023,2
Illinois State,2024,4
Illinois State,2025,7
Incarnate Word,2022,4
Incarnate Word,2023,14
Incarnate Word,2024,11
Incarnate Word,2025,13
Independence C.C.,2022,1
Independence C.C.,2024,1
Independence C.C.,2025,1
Indiana,2022,13
Indiana,2023,23
Indiana,2024,30
Indiana,2025,23
Indiana State,2022,3
Indiana State,2023,1
Indiana State,2024,4
Indiana State,2025,8
Indianapolis,2025,1
Iowa,2022,1
Iowa,2023,8
Iowa,2024,4
Iowa,2025,9
Iowa Central C.C.,2022,2
Iowa Central C.C.,2024,1
Iowa Central C.C.,2025,2
Iowa State,2022,4
Iowa State,2023,2
Iowa State,2024,8
Iowa State,2025,8
Iowa Western C.C.,2022,3
Iowa Western C.C.,2024,2
Iowa Western C.C.,2025,2
Itawamba C.C.,2024,1
Itawamba C.C.,2025,2
Jackson State,2022,15
Jackson State,2023,7
Jackson State,2024,12
Jackson State,2025,10
Jacksonville State,2022,6
Jacksonville State,2023,2
Jacksonville State,2024,19
Jacksonville State,2025,22
James Madison,2022,5
James Madison,2023,5
James Madison,2024,26
James Madison,2025,29
Johnson C Smith,2025,2
Johnson C. Smith University,2024,1
Kansas,2022,15
Kansas,2023,12
Kansas,2024,11
Kansas,2025,27
Kansas State,2022,7
Kansas State,2023,6
Kansas State,2024,10
Kansas State,2025,16
Keiser (Fl),2025,1
Kennesaw State,2022,1
Kennesaw State,2023,1
Kennesaw State,2024,10
Kennesaw State,2025,27
Kent State,2022,4
Kent State,2023,7
Kent State,2024,16
Kent State,2025,12
Kentucky,2022,9
Kentucky,2023,12
Kentucky,2024,12
Kentucky,2025,25
Kilgore College,2025,3
Kilgore J.C.,2024,2
LSU,2022,16
LSU,2023,14
LSU,2024,10
LSU,2025,18
Lackawanna College,2023,1
Lafayette,2024,1
Lafayette,2025,3
Lake Erie,2024,1
Lake Erie College,2025,1
Lamar,2022,2
Lamar,2023,3
Lamar,2024,5
Lamar,2025,4
Lane College,2025,1
Laney College,2023,1
Lehigh,2022,1
Lehigh,2025,1
Lenoir-Rhyne,2024,2
Lenoir-Rhyne,2025,2
Liberty,2022,13
Liberty,2023,13
Liberty,2024,18
Liberty,2025,20
Limestone College,2022,3
Lindenwood,2024,3
Lindenwood,2025,8
Lindenwood University,2022,1
Lindenwood University,2023,1
Long Beach City College,2024,1
Louisiana,2022,2
Louisiana,2023,1
Louisiana,2024,7
Louisiana,2025,5
Louisiana Tech,2022,9
Louisiana Tech,2023,19
Louisiana Tech,2024,12
Louisiana Tech,2025,9
Louisville,2022,13
Louisville,2023,26
Louisville,2024,28
Louisville,2025,30
Maine,2022,1
Maine,2023,1
Maine,2024,3
Maine,2025,6
Marist,2024,1
Mars Hill,2025,1
Marshall,2022,13
Marshall,2023,11
Marshall,2024,28
Marshall,2025,52
Mary Hardin-Baylor,2025,1
Maryland,2022,6
Maryland,2023,10
Maryland,2024,8
Maryland,2025,15
Massachusetts,2022,19
Massachusetts,2023,21
Massachusetts,2024,29
Massachusetts,2025,35
McNeese,2022,5
McNeese,2023,2
McNeese,2024,12
McNeese,2025,6
Memphis,2022,11
Memphis,2023,19
Memphis,2024,30
Memphis,2025,36
Mercer,2022,2
Mercer,2023,2
Mercer,2024,7
Mercer,2025,8
Mercyhurst College,2025,1
Merrimack,2022,1
Merrimack,2023,1
Merrimack,2025,2
Miami,2022,11
Miami,2023,15
Miami,2024,14
Miami,2025,18
Miami (OH),2022,8
Miami (OH),2023,4
Miami (OH),2024,5
Miami (OH),2025,16
Michigan,2022,3
Michigan,2023,9
Michigan,2024,7
Michigan,2025,17
Michigan State,2022,10
Michigan State,2023,14
Michigan State,2024,24
Michigan State,2025,23
Middle Tennessee,2022,10
Middle Tennessee,2023,9
Middle Tennessee,2024,12
Middle Tennessee,2025,12
Midwestern State,2025,1
Minnesota,2022,8
Minnesota,2023,10
Minnesota,2024,12
Minnesota,2025,21
Minnesota Duluth,2024,1
Minnesota State Mankato,2025,1
Misericordia,2022,1
Mississippi State,2022,10
Mississippi State,2023,13
Mississippi State,2024,18
Mississippi State,2025,32
Mississippi Valley State,2023,2
Mississippi Valley State,2025,4
Missouri,2022,13
Missouri,2023,8
Missouri,2024,15
Missouri,2025,21
Missouri S&T,2024,1
Missouri S&T,2025,1
Missouri Southern State,2024,1
Missouri State,2022,4
Missouri State,2023,4
Missouri State,2024,7
Missouri State,2025,15
Missouri Western State,2024,1
Monmouth,2022,1
Monmouth,2023,1
Monmouth,2024,3
Monmouth,2025,5
Montana,2022,2
Montana,2023,3
Montana,2024,9
Montana,2025,12
Montana State,2022,1
Montana State,2023,3
Montana State,2024,3
Montana State,2025,3
Morehead State,2024,1
Morehead State,2025,1
Morgan State,2023,2
Morgan State,2024,3
Morgan State,2025,2
Mt. San Antonio College,2025,1
Murray State,2022,1
Murray State,2024,14
Murray State,2025,3
NC State,2022,2
NC State,2023,6
NC State,2024,15
NC State,2025,18
Navarro College,2022,3
Navarro College,2023,1
Navarro College,2024,2
Navarro College,2025,3
Nebraska,2022,15
Nebraska,2023,13
Nebraska,2024,8
Nebraska,2025,15
Nebraska Kearney,2024,1
Nebraska-Kearney,2025,2
Nevada,2022,16
Nevada,2023,13
Nevada,2024,22
Nevada,2025,20
New Hampshire,2025,2
New Haven,2023,1
New Haven,2025,2
New Mexico,2022,7
New Mexico,2023,14
New Mexico,2024,28
New Mexico,2025,35
New Mexico Highlands,2025,1
New Mexico State,2022,9
New Mexico State,2023,7
New Mexico State,2024,13
New Mexico State,2025,21
Newberry,2025,3
Nicholls,2022,1
Nicholls,2024,2
Nicholls,2025,4
Norfolk State,2022,3
Norfolk State,2024,2
Norfolk State,2025,7
North Alabama,2023,3
North Alabama,2024,8
North Alabama,2025,9
North Carolina,2022,5
North Carolina,2023,10
North Carolina,2024,10
North Carolina,2025,39
North Carolina A&T,2022,3
North Carolina A&T,2023,2
North Carolina A&T,2024,3
North Carolina A&T,2025,2
North Carolina Central,2022,1
North Carolina Central,2023,2
North Carolina Central,2024,5
North Central College,2025,1
North Dakota,2024,2
North Dakota,2025,8
North Dakota State,2023,2
North Dakota State,2024,2
North Dakota State,2025,3
North Texas,2022,10
North Texas,2023,10
North Texas,2024,25
North Texas,2025,34
Northeast Mississippi C.C.,2025,1
Northeastern Oklahoma A&M,2025,1
Northeastern State,2025,1
Northern Arizona,2022,2
Northern Arizona,2023,5
Northern Arizona,2024,9
Northern Arizona,2025,4
Northern Colorado,2022,3
Northern Colorado,2023,2
Northern Colorado,2024,1
Northern Colorado,2025,4
Northern Illinois,2022,3
Northern Illinois,2023,4
Northern Illinois,2024,6
Northern Illinois,2025,5
Northern Iowa,2022,5
Northern Iowa,2023,4
Northern Iowa,2024,4
Northern Iowa,2025,4
Northern Michigan,2023,1
Northern State,2024,1
Northern State,2025,1
Northwest Mississippi C.C.,2025,3
Northwest Missouri St,2022,1
Northwest Missouri St,2024,1
Northwest Missouri St,2025,2
Northwestern,2022,6
Northwestern,2023,3
Northwestern,2024,6
Northwestern,2025,14
Northwestern State,2022,3
Northwestern State,2023,1
Northwestern State,2024,3
Northwestern State,2025,7
Northwood (MI),2025,1
Notre Dame,2022,4
Notre Dame,2023,7
Notre Dame,2024,9
Notre Dame,2025,8
Notre Dame College,2023,1
Ohio,2022,3
Ohio,2023,4
Ohio,2024,21
Ohio,2025,21
Ohio State,2022,3
Ohio State,2023,8
Ohio State,2024,7
Ohio State,2025,11
Oklahoma,2022,16
Oklahoma,2023,18
Oklahoma,2024,16
Oklahoma,2025,20
Oklahoma State,2022,5
Oklahoma State,2023,13
Oklahoma State,2024,8
Oklahoma State,2025,40
Old Dominion,2022,3
Old Dominion,2023,6
Old Dominion,2024,15
Old Dominion,2025,12
Ole Miss,2022,17
Ole Miss,2023,25
Ole Miss,2024,25
Ole Miss,2025,28
Oregon,2022,12
Oregon,2023,15
Oregon,2024,14
Oregon,2025,11
Oregon State,2022,2
Oregon State,2023,7
Oregon State,2024,16
Oregon State,2025,14
Ouachita Baptist,2025,2
Ouachita Baptist University,2025,1
Palomar College,2023,1
Penn State,2022,3
Penn State,2023,6
Penn State,2024,6
Penn State,2025,8
Pennsylvania,2024,1
Pikeville,2024,1
Pittsburg St,2022,1
Pittsburg St,2024,1
Pittsburgh,2022,7
Pittsburgh,2023,7
Pittsburgh,2024,14
Pittsburgh,2025,15
Portland State,2022,4
Portland State,2023,4
Portland State,2024,8
Portland State,2025,3
Prairie View A&M,2024,4
Prairie View A&M,2025,21
Presbyterian,2024,1
Princeton,2025,1
Professional,2022,2
Professional,2023,2
Purdue,2022,10
Purdue,2023,15
Purdue,2024,18
Purdue,2025,51
Rhode Island,2022,1
Rhode Island,2023,4
Rhode Island,2024,5
Rhode Island,2025,11
Rice,2022,7
Rice,2023,5
Rice,2024,10
Rice,2025,11
Richmond,2025,3
Riverside C.C.,2023,1
Robert Morris,2023,3
Robert Morris,2024,1
Robert Morris,2025,8
Rutgers,2022,7
Rutgers,2023,7
Rutgers,2024,6
Rutgers,2025,19
SE Louisiana,2022,1
SE Louisiana,2023,2
SE Louisiana,2024,1
SMU,2022,16
SMU,2023,26
SMU,2024,20
SMU,2025,20
Sacramento State,2022,2
Sacramento State,2023,1
Sacramento State,2024,8
Sacramento State,2025,39
Sacred Heart,2024,2
Sacred Heart,2025,1
Saddleback College,2025,1
Saginaw Valley State,2024,1
Saginaw Valley State,2025,1
Saint Francis,2024,1
Saint Francis (PA),2024,1
Sam Houston,2022,14
Sam Houston,2023,5
Sam Houston,2024,12
Sam Houston,2025,26
Samford,2022,4
Samford,2023,1
Samford,2024,7
Samford,2025,11
San Diego,2022,2
San Diego,2024,3
San Diego,2025,4
San Diego State,2022,6
San Diego State,2023,5
San Diego State,2024,24
San Diego State,2025,19
San José State,2022,8
San José State,2023,7
San José State,2024,14
San José State,2025,13
Savannah St,2025,2
Shepherd,2022,1
Shepherd,2025,1
Shepherd University,2025,1
Shippensburg,2025,1
Slippery Rock,2024,1
Slippery Rock,2025,1
Snow College,2023,1
South Alabama,2022,15
South Alabama,2023,9
South Alabama,2024,15
South Alabama,2025,23
South Carolina,2022,10
South Carolina,2023,10
South Carolina,2024,22
South Carolina,2025,18
South Carolina State,2024,1
South Carolina State,2025,5
South Dakota,2022,3
South Dakota,2024,3
South Dakota,2025,12
South Dakota State,2022,1
South Dakota State,2023,1
South Dakota State,2024,2
South Dakota State,2025,13
South Florida,2022,16
South Florida,2023,19
South Florida,2024,14
South Florida,2025,23
Southeast Missouri State,2024,3
Southeast Missouri State,2025,5
Southeast Oklahoma State,2024,1
Southeastern Louisiana,2025,3
Southern,2022,2
Southern,2024,4
Southern,2025,2
Southern Arkansas,2022,1
Southern Illinois,2022,6
Southern Illinois,2023,2
Southern Illinois,2024,6
Southern Illinois,2025,3
Southern Miss,2022,11
Southern Miss,2023,8
Southern Miss,2024,17
Southern Miss,2025,52
Southern Utah,2022,1
Southern Utah,2023,1
Southern Utah,2024,4
Southern Utah,2025,7
Southwest Baptist,2025,1
Southwest Minnesota State,2022,1
Southwest Mississippi C.C.,2022,1
Southwest Mississippi C.C.,2025,2
Southwestern College,2024,1
Southwestern College,2025,1
Southwestern Oklahoma State,2022,1
St. Thomas,2023,1
St. Thomas,2025,3
St. Thomas University,2022,1
Stanford,2022,1
Stanford,2023,4
Stanford,2024,4
Stanford,2025,17
Stephen F. Austin,2022,2
Stephen F. Austin,2023,3
Stephen F. Austin,2024,15
Stephen F. Austin,2025,10
Stetson,2022,1
Stetson,2024,2
Stetson,2025,2
Stony Brook,2022,1
Stony Brook,2023,7
Stony Brook,2024,1
Stony Brook,2025,4
Syracuse,2022,9
Syracuse,2023,9
Syracuse,2024,19
Syracuse,2025,16
TCU,2022,14
TCU,2023,13
TCU,2024,23
TCU,2025,11
Tarleton State,2022,2
Tarleton State,2023,2
Tarleton State,2024,2
Tarleton State,2025,6
Taylor,2024,1
Temple,2022,12
Temple,2023,11
Temple,2024,15
Temple,2025,24
Tennessee,2022,8
Tennessee,2023,8
Tennessee,2024,9
Tennessee,2025,7
Tennessee State,2022,1
Tennessee State,2023,1
Tennessee State,2024,11
Tennessee State,2025,12
Tennessee Tech,2022,1
Tennessee Tech,2024,7
Tennessee Tech,2025,12
Texas,2022,7
Texas,2023,5
Texas,2024,10
Texas,2025,11
Texas A&M,2022,2
Texas A&M,2023,13
Texas A&M,2024,26
Texas A&M,2025,13
Texas A&M-Kingsville,2025,1
Texas Southern,2023,2
Texas Southern,2024,6
Texas Southern,2025,4
Texas State,2022,15
Texas State,2023,37
Texas State,2024,30
Texas State,2025,34
Texas Tech,2022,14
Texas Tech,2023,7
Texas Tech,2024,16
Texas Tech,2025,21
Texas-Permian Basin,2025,3
Texas-Rio Grande Valley,2025,11
The Citadel,2022,1
The Citadel,2024,1
The Citadel,2025,3
Tiffin University,2022,1
Tiffin University,2024,2
Toledo,2022,7
Toledo,2023,3
Toledo,2024,7
Toledo,2025,20
Towson,2022,3
Towson,2023,1
Towson,2024,3
Towson,2025,7
Trinity,2025,2
Trinity (Texas),2025,1
Trinity Valley C.C.,2022,3
Trinity Valley C.C.,2024,3
Trinity Valley C.C.,2025,2
Troy,2022,5
Troy,2023,8
Troy,2024,10
Troy,2025,4
Tulane,2022,9
Tulane,2023,7
Tulane,2024,22
Tulane,2025,30
Tulsa,2022,7
Tulsa,2023,8
Tulsa,2024,12
Tulsa,2025,31
Tuskegee,2022,1
Tuskegee,2025,2
Tyler J.C. ,2022,1
Tyler J.C. ,2024,1
Tyler J.C. ,2025,1
UAB,2022,2
UAB,2023,7
UAB,2024,19
UAB,2025,29
UAlbany,2022,3
UAlbany,2023,1
UAlbany,2024,7
UC Davis,2022,1
UC Davis,2024,1
UC Davis,2025,9
UCF,2022,14
UCF,2023,18
UCF,2024,25
UCF,2025,38
UCLA,2022,13
UCLA,2023,14
UCLA,2024,21
UCLA,2025,30
UConn,2022,9
UConn,2023,12
UConn,2024,24
UConn,2025,23
UL Monroe,2022,7
UL Monroe,2023,7
UL Monroe,2024,16
UL Monroe,2025,14
UNC-Pembroke,2025,3
UNLV,2022,8
UNLV,2023,9
UNLV,2024,19
UNLV,2025,40
USC,2022,20
USC,2023,16
USC,2024,16
USC,2025,15
UT Martin,2022,4
UT Martin,2023,1
UT Martin,2024,11
UT Martin,2025,8
UT-Rio Grande Valley,2025,3
UT-Rio Grande Valley (Do not use),2025,1
UTEP,2022,1
UTEP,2023,2
UTEP,2024,27
UTEP,2025,26
UTSA,2022,9
UTSA,2023,8
UTSA,2024,15
UTSA,2025,20
UVA Wise,2025,1
Upper Iowa University,2025,1
Utah,2022,5
Utah,2023,9
Utah,2024,11
Utah,2025,21
Utah State,2022,8
Utah State,2023,7
Utah State,2024,20
Utah State,2025,24
Utah Tech,2022,2
Utah Tech,2024,8
Utah Tech,2025,9
Valdosta State,2022,1
Valdosta State,2023,2
Valdosta State,2024,3
Valdosta State,2025,5
Vanderbilt,2022,6
Vanderbilt,2023,3
Vanderbilt,2024,22
Vanderbilt,2025,20
Villanova,2022,1
Villanova,2025,3
Virginia,2022,10
Virginia,2023,8
Virginia,2024,13
Virginia,2025,31
Virginia Tech,2022,5
Virginia Tech,2023,9
Virginia Tech,2024,7
Virginia Tech,2025,30
Virginia Union,2024,1
Wagner,2022,1
Wagner,2023,1
Wagner,2024,2
Wagner,2025,1
Wake Forest,2022,4
Wake Forest,2023,3
Wake Forest,2024,5
Wake Forest,2025,33
Washburn,2025,1
Washington,2022,9
Washington,2023,10
Washington,2024,27
Washington,2025,18
Washington State,2022,9
Washington State,2023,9
Washington State,2024,12
Washington State,2025,34
Wayne State,2024,1
Wayne State,2025,1
Weber State,2023,2
Weber State,2024,5
Weber State,2025,7
West Chester,2025,1
West Florida,2022,1
West Florida,2024,1
West Florida,2025,2
West Georgia,2024,3
West Georgia,2025,5
West Texas A&M,2025,5
West Virginia,2022,11
West Virginia,2023,14
West Virginia,2024,13
West Virginia,2025,51
Western Carolina,2022,1
Western Carolina,2023,1
Western Carolina,2025,5
Western Illinois,2022,3
Western Illinois,2024,5
Western Illinois,2025,3
Western Kentucky,2022,14
Western Kentucky,2023,12
Western Kentucky,2024,21
Western Kentucky,2025,42
Western Michigan,2022,5
Western Michigan,2023,6
Western Michigan,2024,11
Western Michigan,2025,23
Western New Mexico,2022,1
William & Mary,2024,2
William & Mary,2025,4
William Jewell College,2025,1
Wingate,2025,1
Winston-Salem State,2022,1
Winston-Salem State,2025,1
Wisconsin,2022,6
Wisconsin,2023,14
Wisconsin,2024,16
Wisconsin,2025,18
Wittenberg,2025,1
Wofford,2024,3
Wofford,2025,6
Wyoming,2022,3
Wyoming,2023,3
Wyoming,2024,3
Wyoming,2025,17
Yale,2025,1
Youngstown State,2022,1
Youngstown State,2024,8
Youngstown State,2025,4
